,NAME,submission_date,avg_mobility
321,Alabama,02/15/2020,11.0
322,Alabama,02/16/2020,-1.4
323,Alabama,02/17/2020,2.0
324,Alabama,02/18/2020,-3.6
325,Alabama,02/19/2020,3.2
326,Alabama,02/20/2020,-7.8
327,Alabama,02/21/2020,5.0
328,Alabama,02/22/2020,14.8
329,Alabama,02/23/2020,9.4
330,Alabama,02/24/2020,-3.6
331,Alabama,02/25/2020,8.6
332,Alabama,02/26/2020,7.8
333,Alabama,02/27/2020,8.6
334,Alabama,02/28/2020,9.8
335,Alabama,02/29/2020,21.0
336,Alabama,03/01/2020,20.8
337,Alabama,03/02/2020,3.4
338,Alabama,03/03/2020,15.0
339,Alabama,03/04/2020,0.2
340,Alabama,03/05/2020,3.8
341,Alabama,03/06/2020,10.8
342,Alabama,03/07/2020,21.6
343,Alabama,03/08/2020,19.6
344,Alabama,03/09/2020,14.8
345,Alabama,03/10/2020,8.6
346,Alabama,03/11/2020,10.6
347,Alabama,03/12/2020,16.8
348,Alabama,03/13/2020,14.0
349,Alabama,03/14/2020,20.0
350,Alabama,03/15/2020,5.4
351,Alabama,03/16/2020,7.2
352,Alabama,03/17/2020,2.6
353,Alabama,03/18/2020,2.8
354,Alabama,03/19/2020,-2.2
355,Alabama,03/20/2020,-10.6
356,Alabama,03/21/2020,-9.8
357,Alabama,03/22/2020,-18.8
358,Alabama,03/23/2020,-21.0
359,Alabama,03/24/2020,-17.0
360,Alabama,03/25/2020,-9.4
361,Alabama,03/26/2020,-11.2
362,Alabama,03/27/2020,-12.6
363,Alabama,03/28/2020,-12.6
364,Alabama,03/29/2020,-19.4
365,Alabama,03/30/2020,-19.2
366,Alabama,03/31/2020,-27.2
367,Alabama,04/01/2020,-12.0
368,Alabama,04/02/2020,-16.2
369,Alabama,04/03/2020,-13.8
370,Alabama,04/04/2020,-17.6
371,Alabama,04/05/2020,-29.0
372,Alabama,04/06/2020,-22.8
373,Alabama,04/07/2020,-27.6
374,Alabama,04/08/2020,-23.8
375,Alabama,04/09/2020,-21.6
376,Alabama,04/10/2020,-23.8
377,Alabama,04/11/2020,-17.8
378,Alabama,04/12/2020,-51.4
379,Alabama,04/13/2020,-23.0
380,Alabama,04/14/2020,-20.4
381,Alabama,04/15/2020,-15.0
382,Alabama,04/16/2020,-17.6
383,Alabama,04/17/2020,-17.6
384,Alabama,04/18/2020,-15.2
385,Alabama,04/19/2020,-39.0
386,Alabama,04/20/2020,-16.0
387,Alabama,04/21/2020,-14.0
388,Alabama,04/22/2020,-15.0
389,Alabama,04/23/2020,-30.8
390,Alabama,04/24/2020,-14.6
391,Alabama,04/25/2020,-12.6
392,Alabama,04/26/2020,-16.4
393,Alabama,04/27/2020,-12.4
394,Alabama,04/28/2020,-11.6
395,Alabama,04/29/2020,-20.0
396,Alabama,04/30/2020,-11.0
397,Alabama,05/01/2020,-4.8
398,Alabama,05/02/2020,3.4
399,Alabama,05/03/2020,-1.8
400,Alabama,05/04/2020,-5.6
401,Alabama,05/05/2020,-6.8
402,Alabama,05/06/2020,-3.0
403,Alabama,05/07/2020,-4.0
404,Alabama,05/08/2020,-14.8
405,Alabama,05/09/2020,4.6
406,Alabama,05/10/2020,2.8
407,Alabama,05/11/2020,-3.2
408,Alabama,05/12/2020,-3.2
409,Alabama,05/13/2020,1.4
410,Alabama,05/14/2020,-1.8
411,Alabama,05/15/2020,-2.0
412,Alabama,05/16/2020,9.2
413,Alabama,05/17/2020,-4.4
414,Alabama,05/18/2020,-6.4
415,Alabama,05/19/2020,-0.6
416,Alabama,05/20/2020,3.2
417,Alabama,05/21/2020,2.0
418,Alabama,05/22/2020,-0.4
419,Alabama,05/23/2020,10.6
420,Alabama,05/24/2020,11.4
421,Alabama,05/25/2020,-3.6
422,Alabama,05/26/2020,-9.8
423,Alabama,05/27/2020,-6.6
424,Alabama,05/28/2020,0.0
425,Alabama,05/29/2020,1.0
426,Alabama,05/30/2020,14.6
427,Alabama,05/31/2020,12.8
428,Alabama,06/01/2020,4.8
429,Alabama,06/02/2020,1.8
430,Alabama,06/03/2020,5.0
431,Alabama,06/04/2020,1.2
432,Alabama,06/05/2020,0.0
433,Alabama,06/06/2020,10.0
434,Alabama,06/07/2020,-0.8
435,Alabama,06/08/2020,-7.8
436,Alabama,06/09/2020,-6.4
437,Alabama,06/10/2020,3.8
438,Alabama,06/11/2020,8.0
439,Alabama,06/12/2020,8.2
440,Alabama,06/13/2020,20.6
441,Alabama,06/14/2020,13.6
442,Alabama,06/15/2020,7.2
443,Alabama,06/16/2020,7.4
444,Alabama,06/17/2020,9.8
445,Alabama,06/18/2020,7.2
446,Alabama,06/19/2020,9.2
447,Alabama,06/20/2020,22.8
448,Alabama,06/21/2020,9.6
449,Alabama,06/22/2020,-1.4
450,Alabama,06/23/2020,-1.4
451,Alabama,06/24/2020,-0.4
452,Alabama,06/25/2020,1.8
453,Alabama,06/26/2020,0.8
454,Alabama,06/27/2020,12.6
455,Alabama,06/28/2020,9.4
456,Alabama,06/29/2020,2.0
457,Alabama,06/30/2020,1.2
458,Alabama,07/01/2020,4.2
459,Alabama,07/02/2020,11.2
460,Alabama,07/03/2020,7.2
461,Alabama,07/04/2020,0.8
462,Alabama,07/05/2020,2.2
463,Alabama,07/06/2020,2.0
464,Alabama,07/07/2020,-1.6
465,Alabama,07/08/2020,2.0
466,Alabama,07/09/2020,2.6
467,Alabama,07/10/2020,0.6
468,Alabama,07/11/2020,14.6
469,Alabama,07/12/2020,-0.8
470,Alabama,07/13/2020,1.2
471,Alabama,07/14/2020,3.4
472,Alabama,07/15/2020,2.4
473,Alabama,07/16/2020,1.2
474,Alabama,07/17/2020,0.4
475,Alabama,07/18/2020,12.0
476,Alabama,07/19/2020,5.2
477,Alabama,07/20/2020,-1.4
478,Alabama,07/21/2020,-3.2
479,Alabama,07/22/2020,2.4
480,Alabama,07/23/2020,-0.8
481,Alabama,07/24/2020,-1.4
482,Alabama,07/25/2020,8.6
483,Alabama,07/26/2020,4.8
484,Alabama,07/27/2020,-2.2
485,Alabama,07/28/2020,-4.0
486,Alabama,07/29/2020,-1.2
487,Alabama,07/30/2020,-1.6
488,Alabama,07/31/2020,0.0
489,Alabama,08/01/2020,13.6
490,Alabama,08/02/2020,8.4
491,Alabama,08/03/2020,4.0
492,Alabama,08/04/2020,1.6
493,Alabama,08/05/2020,4.6
494,Alabama,08/06/2020,0.6
495,Alabama,08/07/2020,0.2
496,Alabama,08/08/2020,12.2
497,Alabama,08/09/2020,5.4
498,Alabama,08/10/2020,-2.2
499,Alabama,08/11/2020,-3.6
500,Alabama,08/12/2020,-0.2
501,Alabama,08/13/2020,-3.6
502,Alabama,08/14/2020,-5.6
503,Alabama,08/15/2020,7.4
504,Alabama,08/16/2020,5.8
505,Alabama,08/17/2020,-2.6
506,Alabama,08/18/2020,-2.6
507,Alabama,08/19/2020,-2.4
508,Alabama,08/20/2020,-6.0
509,Alabama,08/21/2020,-5.0
510,Alabama,08/22/2020,6.6
511,Alabama,08/23/2020,0.2
512,Alabama,08/24/2020,-7.2
513,Alabama,08/25/2020,-9.6
514,Alabama,08/26/2020,-5.8
515,Alabama,08/27/2020,-7.6
516,Alabama,08/28/2020,-10.4
517,Alabama,08/29/2020,1.0
518,Alabama,08/30/2020,-6.2
519,Alabama,08/31/2020,-7.2
520,Alabama,09/01/2020,-2.8
521,Alabama,09/02/2020,-1.4
522,Alabama,09/03/2020,1.8
523,Alabama,09/04/2020,2.8
524,Alabama,09/05/2020,12.6
525,Alabama,09/06/2020,10.8
526,Alabama,09/07/2020,-4.8
527,Alabama,09/08/2020,-2.4
528,Alabama,09/09/2020,-0.2
529,Alabama,09/10/2020,-2.4
530,Alabama,09/11/2020,-2.4
531,Alabama,09/12/2020,6.8
532,Alabama,09/13/2020,0.8
533,Alabama,09/14/2020,-1.0
534,Alabama,09/15/2020,-12.0
535,Alabama,09/16/2020,-22.2
536,Alabama,09/17/2020,-6.6
537,Alabama,09/18/2020,-4.6
538,Alabama,09/19/2020,4.8
539,Alabama,09/20/2020,3.0
540,Alabama,09/21/2020,-3.2
541,Alabama,09/22/2020,-5.4
542,Alabama,09/23/2020,-6.0
543,Alabama,09/24/2020,-15.6
544,Alabama,09/25/2020,-8.6
545,Alabama,09/26/2020,0.0
546,Alabama,09/27/2020,-1.0
547,Alabama,09/28/2020,-10.6
548,Alabama,09/29/2020,-8.2
549,Alabama,09/30/2020,-3.8
550,Alabama,10/01/2020,-3.0
551,Alabama,10/02/2020,-2.4
552,Alabama,10/03/2020,5.0
553,Alabama,10/04/2020,1.2
554,Alabama,10/05/2020,-3.6
555,Alabama,10/06/2020,-4.2
556,Alabama,10/07/2020,-3.0
557,Alabama,10/08/2020,-4.2
558,Alabama,10/09/2020,-10.8
559,Alabama,10/10/2020,-15.2
560,Alabama,10/11/2020,-7.8
561,Alabama,10/12/2020,-5.8
562,Alabama,10/13/2020,-4.4
563,Alabama,10/14/2020,-3.2
564,Alabama,10/15/2020,-4.2
565,Alabama,10/16/2020,-4.2
566,Alabama,10/17/2020,5.0
567,Alabama,10/18/2020,1.6
568,Alabama,10/19/2020,-5.6
569,Alabama,10/20/2020,-5.8
570,Alabama,10/21/2020,-3.8
571,Alabama,10/22/2020,-4.2
572,Alabama,10/23/2020,-5.4
573,Alabama,10/24/2020,-9.6
574,Alabama,10/25/2020,-1.6
575,Alabama,10/26/2020,-5.8
576,Alabama,10/27/2020,-6.6
577,Alabama,10/28/2020,-13.8
578,Alabama,10/29/2020,-11.8
579,Alabama,10/30/2020,-5.2
580,Alabama,10/31/2020,5.4
581,Alabama,11/01/2020,-2.4
582,Alabama,11/02/2020,-7.8
583,Alabama,11/03/2020,3.4
584,Alabama,11/04/2020,-7.6
585,Alabama,11/05/2020,-8.4
586,Alabama,11/06/2020,-8.2
587,Alabama,11/07/2020,-1.4
588,Alabama,11/08/2020,-3.4
589,Alabama,11/09/2020,-7.6
590,Alabama,11/10/2020,-9.6
591,Alabama,11/11/2020,-13.2
592,Alabama,11/12/2020,-10.0
593,Alabama,11/13/2020,-7.8
594,Alabama,11/14/2020,-0.4
595,Alabama,11/15/2020,-6.6
