State,Month,Total Nonfarm,Mining and Logging,Construction,Manufacturing,"Trade, Transportation, and Utilities",Information,Financial Activities,Professional & Business Services,Education & Health Services,Leisure & Hospitality,Other Services,Government
Alabama,Jan,2087.5,9.9,96.2,269.7,383.4,21.0,97.7,253.3,252.7,209.1,99.7,394.8
Alabama,Feb,2086.5,9.9,95.0,270.7,383.6,20.7,97.8,253.2,252.3,209.1,99.7,394.5
Alabama,Mar,2077.7,9.6,94.0,270.8,382.4,20.4,97.8,252.5,252.0,204.2,99.2,394.8
Alabama,Apr,1839.7,9.9,89.4,232.6,351.0,18.9,95.9,220.0,224.8,128.1,83.8,385.3
Alabama,May,1886.0,9.9,90.6,242.7,362.3,18.7,95.9,224.7,230.8,150.8,87.5,372.1
Alabama,Jun,1930.5,9.8,92.1,253.7,371.8,18.7,95.9,229.6,231.9,167.0,90.9,369.1
Alabama,Jul,1956.6,9.6,91.4,255.9,373.4,18.8,96.0,237.3,233.5,171.4,91.4,377.9
Alabama,Aug,1969.9,9.5,91.0,257.0,375.5,18.9,96.4,240.1,234.0,173.2,90.5,383.8
Alabama,Sep,1980.1,9.5,91.0,258.7,376.9,18.9,96.0,243.3,234.3,175.2,90.5,385.8
Alabama,Oct,2000.0,9.4,94.7,259.4,377.6,19.0,96.5,248.7,237.4,181.0,90.7,385.6
Alabama,Nov,2009.0,9.4,95.0,261.4,378.9,18.9,96.8,251.5,236.3,185.2,91.1,384.5
Alabama,Dec,2012.5,9.5,96.4,260.6,379.1,18.8,97.0,250.4,237.2,188.8,91.3,383.4
Alaska,Jan,329.4,13.4,16.5,12.4,64.6,5.2,11.4,28.2,51.3,35.9,11.1,79.4
Alaska,Feb,329.8,13.4,16.6,13.0,64.3,5.1,11.4,28.2,51.3,36.1,11.1,79.3
Alaska,Mar,328.7,13.2,16.6,12.9,64.0,5.1,11.4,28.3,51.1,35.6,11.0,79.5
Alaska,Apr,284.5,11.9,14.3,11.2,56.8,4.7,10.5,25.0,45.6,21.4,8.5,74.6
Alaska,May,283.3,10.8,14.9,12.5,54.5,4.8,10.7,25.1,47.3,20.4,9.4,72.9
Alaska,Jun,284.2,10.5,15.3,12.3,54.8,4.8,10.2,25.0,48.5,20.4,9.7,72.7
Alaska,Jul,286.7,11.2,15.4,10.6,54.9,4.8,10.4,25.0,48.4,20.2,10.1,75.7
Alaska,Aug,290.8,10.8,15.8,10.2,55.4,4.8,10.5,25.1,48.9,20.4,9.9,79.0
Alaska,Sep,294.9,10.5,15.9,11.0,56.8,4.9,10.8,25.4,49.4,22.8,10.1,77.3
Alaska,Oct,304.4,10.3,17.0,12.0,58.9,4.8,10.5,26.4,49.8,27.0,10.1,77.6
Alaska,Nov,304.5,10.3,17.1,12.5,59.4,4.7,10.5,26.2,49.6,26.9,10.2,77.1
Alaska,Dec,304.1,10.2,17.1,13.6,59.0,4.7,10.6,26.4,49.2,26.1,10.2,77.0
Arizona,Jan,2988.5,13.1,175.5,180.4,552.9,49.8,233.2,451.8,479.6,337.0,94.9,420.3
Arizona,Feb,2993.1,12.8,176.3,180.4,553.4,49.8,233.7,451.5,477.4,338.2,94.7,424.9
Arizona,Mar,2976.2,12.9,175.5,180.7,553.8,49.4,233.8,449.4,475.4,327.5,94.2,423.6
Arizona,Apr,2661.6,12.6,169.7,174.1,507.6,43.4,229.1,413.6,430.6,191.6,74.3,415.0
Arizona,May,2745.4,12.6,171.7,174.8,522.0,43.3,230.2,425.8,443.0,230.5,80.6,410.9
Arizona,Jun,2805.4,11.9,172.2,175.0,540.2,43.0,231.0,425.9,451.5,265.3,84.9,404.5
Arizona,Jul,2807.7,11.8,171.4,173.2,545.6,43.3,231.6,421.5,455.2,254.4,87.5,412.2
Arizona,Aug,2825.9,11.9,172.5,174.5,551.5,43.6,231.8,424.0,454.5,254.0,88.8,418.8
Arizona,Sep,2838.1,12.0,172.9,175.2,555.9,45.2,232.4,423.5,456.6,263.6,89.5,411.3
Arizona,Oct,2850.5,12.1,173.9,175.2,559.2,44.7,231.9,425.7,461.3,272.2,89.1,405.2
Arizona,Nov,2862.2,12.2,176.9,175.8,565.5,44.3,232.6,424.6,462.7,275.0,89.1,403.5
Arizona,Dec,2860.3,12.4,172.4,176.4,565.8,43.8,231.4,426.1,464.7,276.6,89.3,401.4
Arkansas,Jan,1293.4,5.8,53.8,160.8,253.1,12.7,64.2,147.1,194.4,122.5,65.7,213.3
Arkansas,Feb,1292.4,5.6,53.4,160.8,252.5,12.6,64.3,145.1,195.3,122.9,66.5,213.4
Arkansas,Mar,1287.8,5.6,53.6,160.1,251.8,12.6,64.3,144.7,194.2,120.8,66.6,213.5
Arkansas,Apr,1165.2,5.5,51.8,149.8,233.8,11.4,63.0,129.3,176.8,75.1,62.4,206.3
Arkansas,May,1194.0,5.5,52.6,151.7,239.4,11.5,63.4,131.5,181.4,90.1,64.2,202.7
Arkansas,Jun,1217.9,5.5,52.4,152.2,244.7,11.4,63.5,134.2,183.9,99.6,64.3,206.2
Arkansas,Jul,1228.3,5.4,52.3,151.8,246.5,11.3,63.6,136.2,185.0,105.5,64.3,206.4
Arkansas,Aug,1236.4,5.4,52.7,152.8,247.1,11.4,63.7,136.8,185.9,105.0,64.6,211.0
Arkansas,Sep,1239.6,5.3,52.5,153.9,247.6,11.5,63.7,138.0,186.3,107.8,64.6,208.4
Arkansas,Oct,1245.4,5.3,53.7,153.9,252.5,11.5,63.8,139.1,186.3,108.1,65.3,205.9
Arkansas,Nov,1252.9,5.3,54.7,155.9,253.4,11.6,63.5,140.0,187.2,111.2,65.3,204.8
Arkansas,Dec,1257.5,5.3,54.4,156.7,253.7,11.5,63.6,142.5,187.9,111.6,65.1,205.2
California,Jan,17620.8,22.1,905.2,1327.6,3065.2,576.3,847.4,2758.2,2859.3,2055.5,588.6,2615.4
California,Feb,17660.9,22.3,913.3,1327.8,3067.0,581.1,848.8,2771.3,2862.5,2058.2,593.3,2615.3
California,Mar,17484.1,22.3,893.3,1322.7,3053.7,581.2,846.0,2733.9,2855.0,1984.7,579.5,2611.8
California,Apr,14946.1,20.4,738.6,1206.4,2630.2,510.0,800.2,2473.7,2578.1,1072.7,395.3,2520.5
California,May,15132.7,19.0,827.3,1227.2,2661.8,507.8,801.8,2506.1,2617.9,1120.3,410.7,2432.8
California,Jun,15611.7,18.6,849.5,1248.5,2822.1,501.6,802.7,2523.4,2685.9,1309.6,437.6,2412.2
California,Jul,15664.6,18.7,838.3,1240.6,2841.5,505.9,802.4,2527.4,2700.6,1304.2,445.8,2439.2
California,Aug,15757.8,19.0,842.5,1245.3,2882.4,508.3,804.2,2536.3,2715.5,1300.3,426.0,2478.0
California,Sep,15874.1,18.8,845.1,1248.3,2909.6,508.5,806.1,2549.2,2723.8,1350.8,449.8,2464.1
California,Oct,15963.4,18.8,859.7,1247.0,2922.8,516.9,809.0,2577.8,2716.5,1404.9,456.6,2433.4
California,Nov,16013.3,18.9,858.1,1248.1,2939.4,518.5,811.7,2591.0,2727.9,1432.9,450.9,2415.9
California,Dec,15937.9,18.5,881.1,1246.9,2941.6,522.0,810.0,2611.1,2734.8,1326.7,441.8,2403.4
Colorado,Jan,2819.5,26.5,179.9,151.4,482.7,78.0,175.8,446.9,354.2,347.1,115.6,461.4
Colorado,Feb,2819.0,26.2,179.3,151.6,482.6,78.0,176.1,447.5,353.9,346.9,115.7,461.2
Colorado,Mar,2806.7,25.9,179.6,150.8,482.4,78.0,176.0,447.6,351.4,338.1,115.0,461.9
Colorado,Apr,2443.2,23.9,168.3,140.2,432.0,74.7,169.4,414.0,307.8,175.8,89.5,447.6
Colorado,May,2519.8,21.6,175.7,143.2,445.4,74.5,169.7,423.2,323.9,209.8,98.7,434.1
Colorado,Jun,2565.5,20.5,174.5,144.5,457.3,73.7,169.6,424.0,330.2,239.8,102.0,429.4
Colorado,Jul,2593.1,19.7,172.9,145.6,463.8,73.0,170.2,422.6,333.7,257.1,103.3,431.2
Colorado,Aug,2619.2,19.5,172.7,146.0,468.2,73.1,171.1,424.6,336.6,266.9,105.4,435.1
Colorado,Sep,2639.0,19.5,171.9,146.4,472.0,74.4,172.0,426.2,339.0,276.7,107.0,433.9
Colorado,Oct,2651.7,19.4,173.6,146.0,476.6,73.0,172.8,427.9,339.8,282.1,107.4,433.1
