,submission_date,10000cases,month,unemp,gdp,order,spring,summer,fall,winter
0,01/22/2020,0.0,Jan,3.5,211231.64444444445,0,0,0,0,1
1,01/23/2020,0.0001,Jan,3.5,211231.64444444445,0,0,0,0,1
2,01/24/2020,0.0001,Jan,3.5,211231.64444444445,0,0,0,0,1
3,01/25/2020,0.0,Jan,3.5,211231.64444444445,0,0,0,0,1
4,01/26/2020,0.0001,Jan,3.5,211231.64444444445,0,0,0,0,1
5,01/27/2020,0.0,Jan,3.5,211231.64444444445,0,0,0,0,1
6,01/28/2020,0.0,Jan,3.5,211231.64444444445,0,0,0,0,1
7,01/29/2020,0.0,Jan,3.5,211231.64444444445,0,0,0,0,1
8,01/30/2020,0.0,Jan,3.5,211231.64444444445,0,0,0,0,1
9,01/31/2020,0.0001,Jan,3.5,211231.64444444445,0,0,0,0,1
10,02/01/2020,0.0001,Feb,3.5,211231.64444444445,0,0,0,0,1
11,02/02/2020,0.0003,Feb,3.5,211231.64444444445,0,0,0,0,1
12,02/03/2020,0.0003,Feb,3.5,211231.64444444445,0,0,0,0,1
13,02/04/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
14,02/05/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
15,02/06/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
16,02/07/2020,0.0001,Feb,3.5,211231.64444444445,0,0,0,0,1
17,02/08/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
18,02/09/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
19,02/10/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
20,02/11/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
21,02/12/2020,0.0001,Feb,3.5,211231.64444444445,0,0,0,0,1
22,02/13/2020,0.0001,Feb,3.5,211231.64444444445,0,0,0,0,1
23,02/14/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
24,02/15/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
25,02/16/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
26,02/17/2020,0.0002,Feb,3.5,211231.64444444445,0,0,0,0,1
27,02/18/2020,0.0005,Feb,3.5,211231.64444444445,0,0,0,0,1
28,02/19/2020,0.0003,Feb,3.5,211231.64444444445,0,0,0,0,1
29,02/20/2020,0.0001,Feb,3.5,211231.64444444445,0,0,0,0,1
30,02/21/2020,0.0005,Feb,3.5,211231.64444444445,0,0,0,0,1
31,02/22/2020,0.0006,Feb,3.5,211231.64444444445,0,0,0,0,1
32,02/23/2020,0.0,Feb,3.5,211231.64444444445,0,0,0,0,1
33,02/24/2020,0.0004,Feb,3.5,211231.64444444445,0,0,0,0,1
34,02/25/2020,0.0004,Feb,3.5,211231.64444444445,0,0,0,0,1
35,02/26/2020,0.0008,Feb,3.5,211231.64444444445,0,0,0,0,1
36,02/27/2020,0.0005,Feb,3.5,211231.64444444445,0,0,0,0,1
37,02/28/2020,0.0004,Feb,3.5,211231.64444444445,0,0,0,0,1
38,02/29/2020,0.0009,Feb,3.5,211231.64444444445,0,0,0,0,1
39,03/01/2020,0.0018,Mar,4.4,211231.64444444445,0,1,0,0,0
40,03/02/2020,0.0036,Mar,4.4,211231.64444444445,0,1,0,0,0
41,03/03/2020,0.0064,Mar,4.4,211231.64444444445,0,1,0,0,0
42,03/04/2020,0.0067,Mar,4.4,211231.64444444445,0,1,0,0,0
43,03/05/2020,0.0079,Mar,4.4,211231.64444444445,0,1,0,0,0
44,03/06/2020,0.0121,Mar,4.4,211231.64444444445,0,1,0,0,0
45,03/07/2020,0.0159,Mar,4.4,211231.64444444445,0,1,0,0,0
46,03/08/2020,0.021,Mar,4.4,211231.64444444445,0,1,0,0,0
47,03/09/2020,0.0424,Mar,4.4,211231.64444444445,0,1,0,0,0
48,03/10/2020,0.049,Mar,4.4,211231.64444444445,0,1,0,0,0
49,03/11/2020,0.0519,Mar,4.4,211231.64444444445,0,1,0,0,0
50,03/12/2020,0.0757,Mar,4.4,211231.64444444445,0,1,0,0,0
51,03/13/2020,0.0918,Mar,4.4,211231.64444444445,0,1,0,0,0
52,03/14/2020,0.1286,Mar,4.4,211231.64444444445,0,1,0,0,0
53,03/15/2020,0.2204,Mar,4.4,211231.64444444445,0,1,0,0,0
54,03/16/2020,0.2362,Mar,4.4,211231.64444444445,0,1,0,0,0
55,03/17/2020,0.3328,Mar,4.4,211231.64444444445,0,1,0,0,0
56,03/18/2020,0.4996,Mar,4.4,211231.64444444445,0,1,0,0,0
57,03/19/2020,0.629,Mar,4.4,211231.64444444445,0,1,0,0,0
58,03/20/2020,0.7555,Mar,4.4,211231.64444444445,0,1,0,0,0
59,03/21/2020,0.934,Mar,4.4,211231.64444444445,0,1,0,0,0
60,03/22/2020,1.0877,Mar,4.4,211231.64444444445,0,1,0,0,0
61,03/23/2020,1.0773,Mar,4.4,211231.64444444445,0,1,0,0,0
62,03/24/2020,1.1522,Mar,4.4,211231.64444444445,0,1,0,0,0
63,03/25/2020,1.4263,Mar,4.4,211231.64444444445,0,1,0,0,0
64,03/26/2020,1.8894,Mar,4.4,211231.64444444445,0,1,0,0,0
65,03/27/2020,2.0161,Mar,4.4,211231.64444444445,0,1,0,0,0
66,03/28/2020,2.0673,Mar,4.4,211231.64444444445,0,1,0,0,0
67,03/29/2020,2.6281,Mar,4.4,211231.64444444445,0,1,0,0,0
68,03/30/2020,1.5763,Mar,4.4,211231.64444444445,0,1,0,0,0
69,03/31/2020,2.3382,Mar,4.4,211231.64444444445,0,1,0,0,0
70,04/01/2020,2.8458,Apr,14.8,190137.4835164835,0,1,0,0,0
71,04/02/2020,2.9997,Apr,14.8,190137.4835164835,0,1,0,0,0
72,04/03/2020,3.1848,Apr,14.8,190137.4835164835,0,1,0,0,0
73,04/04/2020,3.2443,Apr,14.8,190137.4835164835,0,1,0,0,0
74,04/05/2020,2.7347,Apr,14.8,190137.4835164835,0,1,0,0,0
75,04/06/2020,2.8394,Apr,14.8,190137.4835164835,0,1,0,0,0
76,04/07/2020,3.0368,Apr,14.8,190137.4835164835,1,1,0,0,0
77,04/08/2020,3.3603,Apr,14.8,190137.4835164835,1,1,0,0,0
78,04/09/2020,3.5001,Apr,14.8,190137.4835164835,1,1,0,0,0
79,04/10/2020,3.1976,Apr,14.8,190137.4835164835,1,1,0,0,0
80,04/11/2020,3.227,Apr,14.8,190137.4835164835,1,1,0,0,0
81,04/12/2020,2.7677,Apr,14.8,190137.4835164835,1,1,0,0,0
82,04/13/2020,2.4728,Apr,14.8,190137.4835164835,1,1,0,0,0
83,04/14/2020,2.5288,Apr,14.8,190137.4835164835,1,1,0,0,0
84,04/15/2020,2.5477,Apr,14.8,190137.4835164835,1,1,0,0,0
85,04/16/2020,3.1883,Apr,14.8,190137.4835164835,1,1,0,0,0
86,04/17/2020,2.9919,Apr,14.8,190137.4835164835,1,1,0,0,0
87,04/18/2020,2.7577,Apr,14.8,190137.4835164835,1,1,0,0,0
88,04/19/2020,2.7678,Apr,14.8,190137.4835164835,1,1,0,0,0
89,04/20/2020,2.5622,Apr,14.8,190137.4835164835,1,1,0,0,0
90,04/21/2020,2.5682,Apr,14.8,190137.4835164835,1,1,0,0,0
91,04/22/2020,3.1602,Apr,14.8,190137.4835164835,1,1,0,0,0
92,04/23/2020,3.3032,Apr,14.8,190137.4835164835,1,1,0,0,0
93,04/24/2020,3.4155,Apr,14.8,190137.4835164835,1,1,0,0,0
94,04/25/2020,3.3527,Apr,14.8,190137.4835164835,1,1,0,0,0
95,04/26/2020,2.7196,Apr,14.8,190137.4835164835,1,1,0,0,0
96,04/27/2020,2.3907,Apr,14.8,190137.4835164835,1,1,0,0,0
97,04/28/2020,2.3602,Apr,14.8,190137.4835164835,1,1,0,0,0
98,04/29/2020,2.7279,Apr,14.8,190137.4835164835,1,1,0,0,0
99,04/30/2020,3.2296,Apr,14.8,190137.4835164835,1,1,0,0,0
100,05/01/2020,3.0288,May,13.3,190137.4835164835,1,1,0,0,0
101,05/02/2020,2.8388,May,13.3,190137.4835164835,1,1,0,0,0
102,05/03/2020,2.769,May,13.3,190137.4835164835,1,1,0,0,0
103,05/04/2020,2.1103,May,13.3,190137.4835164835,1,1,0,0,0
104,05/05/2020,2.3567,May,13.3,190137.4835164835,1,1,0,0,0
105,05/06/2020,2.4411,May,13.3,190137.4835164835,1,1,0,0,0
106,05/07/2020,3.0706,May,13.3,190137.4835164835,1,1,0,0,0
107,05/08/2020,2.8154,May,13.3,190137.4835164835,1,1,0,0,0
108,05/09/2020,2.6069,May,13.3,190137.4835164835,1,1,0,0,0
109,05/10/2020,2.1363,May,13.3,190137.4835164835,1,1,0,0,0
110,05/11/2020,1.9129,May,13.3,190137.4835164835,1,1,0,0,0
111,05/12/2020,2.4702,May,13.3,190137.4835164835,1,1,0,0,0
112,05/13/2020,1.7994,May,13.3,190137.4835164835,1,1,0,0,0
113,05/14/2020,3.4465,May,13.3,190137.4835164835,1,1,0,0,0
114,05/15/2020,2.7067,May,13.3,190137.4835164835,1,1,0,0,0
115,05/16/2020,2.5281,May,13.3,190137.4835164835,1,1,0,0,0
116,05/17/2020,1.9028,May,13.3,190137.4835164835,1,1,0,0,0
117,05/18/2020,2.4469,May,13.3,190137.4835164835,1,1,0,0,0
118,05/19/2020,2.1222,May,13.3,190137.4835164835,1,1,0,0,0
119,05/20/2020,2.4908,May,13.3,190137.4835164835,1,1,0,0,0
120,05/21/2020,2.5545,May,13.3,190137.4835164835,1,1,0,0,0
121,05/22/2020,2.6085,May,13.3,190137.4835164835,1,1,0,0,0
122,05/23/2020,2.0778,May,13.3,190137.4835164835,1,1,0,0,0
123,05/24/2020,2.1539,May,13.3,190137.4835164835,1,1,0,0,0
124,05/25/2020,1.8844,May,13.3,190137.4835164835,1,1,0,0,0
125,05/26/2020,1.6863,May,13.3,190137.4835164835,1,1,0,0,0
126,05/27/2020,2.1098,May,13.3,190137.4835164835,1,1,0,0,0
